t	accent	blue	tile
0.00	323	458	96078
0.05	315	448	96074
0.10	328	449	96101
0.15	325	475	96099
0.20	327	472	96102
0.25	327	449	96100
0.30	327	449	96101
0.35	327	449	96101
0.40	327	449	96101
0.45	327	449	96101
0.50	327	449	96101
0.55	327	449	96101
0.60	327	449	96101
0.65	327	449	96101
0.70	327	449	96101
0.75	327	449	96101
0.80	327	449	96101
0.85	327	449	96100
0.90	327	449	96100
0.95	327	449	96100
1.00	330	451	96103
1.05	327	449	96100
1.10	327	456	96111
1.15	327	451	96109
1.20	329	451	96111
1.25	327	456	96111
1.30	330	431	96114
1.35	330	431	96114
1.40	330	431	96114
1.45	330	431	96115
1.50	330	431	96115
1.55	329	431	96114
1.60	329	431	96115
1.65	329	431	96115
1.70	330	431	96115
1.75	330	431	96114
1.80	330	431	96115
1.85	330	431	96115
1.90	330	431	96115
1.95	329	431	96114
2.00	329	431	96115
2.05	329	431	96115
2.10	341	437	96114
2.15	338	441	96114
2.20	339	441	96114
2.25	336	439	96113
2.30	336	439	96113
2.35	336	439	96113
2.40	336	439	96113
2.45	336	439	96113
2.50	337	439	96113
2.55	336	439	96113
2.60	336	489	96093
2.65	345	0	95460
2.70	345	0	95460
2.75	345	0	95460
2.80	345	0	95460
2.85	345	0	95460
2.90	345	0	95460
2.95	345	0	95460
3.00	345	0	95460
3.05	344	0	95460
3.10	345	0	95460
3.15	352	0	95460
3.20	353	0	95460
3.25	631	0	95460
3.30	629	0	95460
3.35	350	0	95460
3.40	350	0	95460
3.45	350	0	95460
3.50	629	0	95460
3.55	631	0	95460
3.60	631	0	95460
3.65	630	0	95460
3.70	351	0	95460
3.75	350	0	95460
3.80	350	0	95460
3.85	350	0	95460
3.90	0	1172	95459
3.95	0	1158	95459
4.00	0	1166	95461
4.05	0	1168	95461
4.10	0	1168	95461
4.15	0	1167	95461
4.20	0	0	95461
4.25	0	0	95461
4.30	0	0	95461
4.35	0	0	95461
4.40	0	0	95461
4.45	0	0	95461
4.50	344	0	95461
4.55	344	0	95461
4.60	345	0	95461
4.65	345	0	95461
4.70	345	0	95461
4.75	345	0	95461
4.80	344	0	95461
4.85	344	0	95461
4.90	343	0	95461
4.95	343	0	95461
5.00	343	0	95461
5.05	343	0	95461
5.10	343	0	95461
5.15	343	0	95461
5.20	343	0	95461
5.25	343	0	95461
5.30	343	0	95461
5.35	343	0	95461
5.40	343	0	95461
5.45	343	0	95461
5.50	343	0	95461
5.55	343	0	95461
5.60	343	0	95461
5.65	343	0	95461
5.70	343	0	95461
5.75	343	0	95461
5.80	343	0	95461
5.85	343	0	95461
5.90	343	0	95461
5.95	343	0	95461
6.00	343	0	95461
6.05	343	0	95461
6.10	343	0	95461
6.15	343	0	95461
6.20	343	0	95461
6.25	343	0	95461
6.30	343	0	95461
6.35	343	0	95461
6.40	343	0	95461
6.45	343	0	95461
6.50	343	0	95461
6.55	343	0	95461
6.60	343	0	95461
6.65	343	0	95461
6.70	343	0	95461
6.75	343	0	95461
6.80	343	0	95461
6.85	343	0	95461
6.90	343	0	95461
6.95	343	0	95461
7.00	343	0	95461
7.05	343	0	95461
7.10	343	0	95461
7.15	343	0	95461
7.20	343	0	95461
7.25	343	0	95461
7.30	343	0	95461
7.35	343	0	95461
7.40	343	0	95461
7.45	343	0	95461
7.50	343	0	95461
7.55	343	0	95461
7.60	343	0	95461
7.65	343	0	95461
7.70	343	0	95461
7.75	343	0	95461
7.80	627	0	95461
7.85	627	0	95461
7.90	627	0	95461
7.95	347	0	95461
8.00	627	0	95461
8.05	4159	0	197419
8.10	4199	0	197420
8.15	4221	0	197418
8.20	4218	0	197418
8.25	4219	0	197419
8.30	3918	0	197418
8.35	3918	0	197418
8.40	3918	0	197418
8.45	3918	0	197418
8.50	3919	0	197419
8.55	3934	0	197419
8.60	3933	0	197419
8.65	3933	0	197419
8.70	3933	0	197419
8.75	3932	0	197419
8.80	3932	0	197419
8.85	3932	0	197419
8.90	3933	0	197419
8.95	3933	0	197419
9.00	3933	0	197419
9.05	3932	0	197419
9.10	3934	0	197419
9.15	4420	0	197418
9.20	4438	0	197419
9.25	16694	1153	343753
9.30	14568	1150	342831
9.35	14566	1150	342827
9.40	14570	0	342843
9.45	14567	0	342839
9.50	14502	0	342831
9.55	14500	0	342828
9.60	14500	0	342822
9.65	14500	0	342822
9.70	14842	0	342822
9.75	14843	0	342822
9.80	14843	0	342822
9.85	14842	0	342822
9.90	14842	0	342822
9.95	14843	126	342649
10.00	14843	433	342470
10.05	14842	426	342464
10.10	14842	425	342465
10.15	14843	425	342465
10.20	14842	425	342465
10.25	14837	425	342463
10.30	14837	423	342468
10.35	14838	423	342466
10.40	14682	414	343211
10.45	12812	669	342446
10.50	12817	671	342445
10.55	12870	677	342517
10.60	13511	682	343085
10.65	13905	687	343388
10.70	13985	671	343460
10.75	13967	672	343458
10.80	13969	665	343463
10.85	13911	674	343393
10.90	13664	679	343169
10.95	13575	675	343095
11.00	13574	727	344187
11.05	13571	727	344185
11.10	13572	723	344186
11.15	13346	730	344014
11.20	13185	731	343875
11.25	13138	736	343806
11.30	13136	739	343807
11.35	13136	739	343805
11.40	13135	739	343805
11.45	13135	739	343805
11.50	13135	739	343805
11.55	13135	739	343805
11.60	13137	739	343805
11.65	13136	739	343805
11.70	13136	739	343805
11.75	13137	739	343805
11.80	13135	739	343803
11.85	13135	739	343805
11.90	13135	739	343805
11.95	13135	739	343805
12.00	13136	739	343803
12.05	13135	739	343805
12.10	13136	739	343805
12.15	11179	739	312074
12.20	11561	739	267859
12.25	11577	716	267412
12.30	11578	716	267418
12.35	11231	1870	267391
12.40	11231	1886	267393
12.45	11230	1870	267394
12.50	11230	1867	267396
12.55	11230	1867	267396
12.60	11231	713	267389
12.65	11230	716	267395
12.70	11231	716	267397
12.75	11230	716	267392
12.80	11230	716	267388
12.85	11230	716	267395
12.90	11558	713	267397
12.95	11574	713	267393
13.00	11575	716	267395
13.05	11575	716	267398
13.10	11574	716	267394
13.15	11573	716	267391
13.20	11573	716	267396
13.25	11573	716	267399
13.30	11573	713	267399
13.35	11574	713	267393
13.40	11574	716	267392
13.45	11574	716	267395
13.50	11574	716	267397
13.55	11573	716	267394
13.60	11578	718	267416
13.65	11578	716	267418
13.70	11575	716	267399
13.75	11574	716	267393
13.80	11573	716	267396
13.85	11573	716	267399
13.90	11573	713	267396
13.95	11574	713	267390
14.00	11573	716	267395
14.05	11574	716	267398
14.10	11574	716	267397
14.15	11573	716	267394
14.20	11573	716	267393
14.25	11573	716	267396
14.30	11573	713	267399
14.35	11574	713	267388
14.40	11574	716	267395
14.45	11574	716	267392
14.50	11573	716	267393
14.55	11573	716	267396
14.60	11573	716	267395
14.65	11573	713	267399
14.70	11573	713	267392
14.75	11574	716	267392
14.80	11574	716	267395
14.85	11574	716	267397
14.90	11573	716	267393
14.95	11572	715	267379
15.00	11577	716	267412
15.05	11575	716	267399
15.10	11574	716	267391
15.15	11573	716	267385
15.20	11573	716	267394
15.25	11573	713	267396
15.30	11573	713	267393
15.35	11574	713	267389
15.40	11574	716	267398
15.45	11574	716	267397
15.50	11573	716	267394
15.55	11573	716	267393
15.60	11573	716	267396
15.65	11573	713	267399
15.70	11574	713	267393
15.75	11574	716	267395
15.80	11574	716	267398
15.85	11574	716	267394
15.90	11573	716	267389
15.95	11573	716	267395
16.00	11573	713	267396
16.05	11573	713	267392
16.10	11574	713	267388
16.15	11573	716	267395
16.20	11574	716	267393
16.25	11573	716	267393
16.30	11573	716	267388
16.35	11578	718	267416
16.40	11578	716	267418
16.45	11575	716	267399
16.50	11574	716	267393
16.55	11573	716	267394
16.60	11573	713	267396
16.65	11573	713	267393
16.70	11574	713	267389
16.75	11573	716	267395
