t	accent	blue	tile
0.00	2746	0	197910
0.05	3471	0	199078
0.10	3372	0	198127
0.15	3564	0	199094
0.20	3564	0	199094
0.25	3557	0	199084
0.30	3560	0	199091
0.35	3559	0	199085
0.40	3559	0	199085
0.45	3557	0	199085
0.50	3557	0	199085
0.55	3557	0	199086
0.60	3557	0	199085
0.65	3557	0	199085
0.70	3557	0	199085
0.75	3557	0	199086
0.80	3557	0	199086
0.85	3557	0	199085
0.90	3557	0	199085
0.95	3557	0	199085
1.00	3557	0	199086
1.05	3591	0	198610
1.10	3593	0	198606
1.15	3651	0	199129
1.20	3656	0	199127
1.25	3655	0	199132
1.30	3654	0	199128
1.35	3650	0	199127
1.40	3642	0	199133
1.45	3642	0	199133
1.50	2996	0	198614
1.55	2997	0	198615
1.60	2996	0	198615
1.65	2996	0	198614
1.70	2996	0	198614
1.75	2996	0	198614
1.80	2994	0	198614
1.85	2994	0	198614
1.90	2994	0	198614
1.95	2996	0	198614
2.00	2994	0	198614
2.05	2994	0	198614
2.10	3030	0	198624
2.15	3035	0	198624
2.20	3006	0	198617
2.25	3026	0	198627
2.30	3016	0	198624
2.35	3021	0	198627
2.40	3020	0	198628
2.45	3015	0	198627
2.50	3015	0	198628
2.55	3016	0	198628
2.60	3016	0	198627
2.65	3016	0	198627
2.70	3016	0	198627
2.75	3015	0	198628
2.80	3015	0	198627
2.85	3812	0	198608
2.90	3811	0	198608
2.95	3811	0	198608
3.00	3811	0	198608
3.05	3812	0	198608
3.10	3813	0	198608
3.15	3835	0	198610
3.20	3844	0	198610
3.25	3825	0	198608
3.30	3832	0	198611
3.35	3838	0	198611
3.40	4231	0	198611
3.45	4228	0	198612
3.50	3850	0	198612
3.55	3850	0	198612
3.60	3830	0	198612
3.65	3831	0	198609
3.70	3828	0	198611
3.75	3829	0	198608
3.80	0	1754	104188
3.85	0	1761	104192
3.90	0	1757	104192
3.95	0	1760	104192
4.00	0	1759	104192
4.05	0	1759	104192
4.10	0	1759	104192
4.15	0	1758	104192
4.20	0	1766	104193
4.25	0	1768	104185
4.30	3795	0	198603
4.35	3809	0	198603
4.40	3809	0	198603
4.45	3812	0	198603
4.50	3810	0	198603
4.55	3810	0	198603
4.60	3810	0	198603
4.65	3810	0	198603
4.70	3809	0	198603
4.75	3809	0	198603
4.80	3810	0	198603
4.85	3810	0	198603
4.90	3810	0	198603
4.95	3810	0	198603
5.00	3810	0	198603
5.05	3810	0	198603
5.10	3810	0	198603
5.15	3809	0	198603
5.20	3809	0	198603
5.25	3809	0	198603
5.30	3810	0	198603
5.35	3810	0	198603
5.40	3810	0	198603
5.45	3810	0	198603
5.50	3810	0	198603
5.55	3810	0	198603
