t	accent	blue	tile
0.00	3496	0	197897
0.05	3356	0	197627
0.10	3569	0	199100
0.15	3573	0	199102
0.20	3565	0	199100
0.25	3567	0	199097
0.30	3568	0	199095
0.35	3566	0	199094
0.40	3565	0	199094
0.45	3565	0	199094
0.50	3567	0	199095
0.55	3565	0	199094
0.60	3565	0	199094
0.65	3565	0	199094
0.70	3567	0	199095
0.75	3567	0	199095
0.80	3565	0	199094
0.85	3565	0	199094
0.90	3565	0	199094
0.95	3567	0	199095
1.00	3589	0	199128
1.05	3581	0	199115
1.10	3565	0	199094
1.15	3771	0	199143
1.20	3633	0	199141
1.25	3831	0	199144
1.30	3767	0	199142
1.35	3832	0	199142
1.40	3837	0	199139
1.45	3837	0	199139
1.50	3835	0	199139
1.55	3835	0	199139
1.60	3835	0	199139
1.65	3800	0	198614
1.70	3804	0	198615
1.75	3802	0	198614
1.80	3802	0	198614
1.85	3802	0	198614
1.90	3802	0	198614
1.95	3802	0	198614
2.00	3800	0	198614
2.05	3800	0	198614
2.10	3800	0	198614
2.15	3944	0	198626
2.20	3798	0	198615
2.25	3947	0	198629
2.30	3932	0	198628
2.35	3935	0	198631
2.40	3935	0	198632
2.45	3935	0	198630
2.50	3927	0	198630
2.55	3927	0	198632
2.60	3927	0	198630
2.65	3935	0	198630
2.70	3935	0	198631
2.75	3935	0	198631
2.80	3935	0	198632
2.85	3927	0	198630
2.90	3927	0	198631
2.95	3927	0	198631
3.00	4217	0	198631
3.05	4218	0	198631
3.10	4217	0	198630
3.15	4204	0	198616
3.20	3923	0	198615
3.25	3922	0	198615
3.30	3922	0	198615
3.35	4201	0	198616
3.40	4202	0	198616
3.45	3922	0	198616
3.50	3922	0	198616
3.55	3923	0	198615
3.60	3922	0	198615
3.65	3922	0	198615
3.70	3922	0	198616
3.75	3923	0	198616
3.80	3922	0	198616
3.85	3922	0	198616
3.90	0	1765	104197
3.95	0	1756	104196
4.00	0	1761	104196
4.05	0	1759	104197
4.10	0	1759	104197
4.15	0	1759	104197
4.20	0	1759	104197
4.25	0	1759	104197
4.30	0	0	96655
4.35	0	0	96655
4.40	3920	0	198616
4.45	3921	0	198616
4.50	3921	0	198615
4.55	3920	0	198615
4.60	3921	0	198615
4.65	3920	0	198616
4.70	3921	0	198616
4.75	3920	0	198616
4.80	3921	0	198616
4.85	3920	0	198616
4.90	3920	0	198615
4.95	3920	0	198615
5.00	3920	0	198616
5.05	3920	0	198616
5.10	3920	0	198616
5.15	3920	0	198616
5.20	3920	0	198616
5.25	3920	0	198616
5.30	3920	0	198615
5.35	3921	0	198615
5.40	3920	0	198616
5.45	3921	0	198616
5.50	4202	0	198616
5.55	4202	0	198616
5.60	4202	0	198616
5.65	4202	0	198616
5.70	3922	0	198615
5.75	3922	0	198615
5.80	4203	0	198615
5.85	4203	0	198615
5.90	4203	0	198610
5.95	4202	0	198611
6.00	4202	0	198610
6.05	3923	0	198610
6.10	3940	0	198612
6.15	3941	0	198612
6.20	3940	0	198612
6.25	3939	0	198611
6.30	3938	0	198611
6.35	3939	0	198611
6.40	3938	0	198612
6.45	3939	0	198612
6.50	3938	0	198612
6.55	3938	0	198612
6.60	3938	0	198612
6.65	3939	0	198611
6.70	3938	0	198611
6.75	3939	0	198611
6.80	3938	0	198612
6.85	3939	0	198612
6.90	4447	0	198616
6.95	3019	1795	202580
7.00	3048	1807	202581
7.05	3048	1808	202581
7.10	3047	1809	202580
7.15	3047	1807	202580
7.20	3043	1804	202580
7.25	4144	0	198611
7.30	4144	0	198611
7.35	4490	0	198610
7.40	4490	0	198610
7.45	4493	0	198611
7.50	4493	0	198611
7.55	4491	0	198611
7.60	4492	0	198611
7.65	4492	0	198611
7.70	4492	0	198611
7.75	4492	0	198611
7.80	4492	0	198611
7.85	4492	0	198610
7.90	4494	0	198610
7.95	4487	0	198610
8.00	4488	0	198610
8.05	4488	0	198611
8.10	4488	0	198611
8.15	4488	0	198610
8.20	4487	0	198610
8.25	4487	0	198609
8.30	4487	0	198609
8.35	4487	0	198610
8.40	4488	0	198610
8.45	4488	0	198610
8.50	4488	0	198610
8.55	4487	0	198609
8.60	4487	0	198609
8.65	4487	0	198609
8.70	4487	0	198611
8.75	4488	0	198610
8.80	4487	0	198610
8.85	4487	0	198610
8.90	4487	0	198611
8.95	4516	0	198611
9.00	4515	0	198611
9.05	4516	0	198611
9.10	4515	0	198611
9.15	4516	0	198610
9.20	4515	0	198610
9.25	4516	0	198610
9.30	4515	0	198611
9.35	4515	0	198611
9.40	4515	0	198611
9.45	4515	0	198611
9.50	4515	0	198611
9.55	4515	0	198610
9.60	4515	0	198610
9.65	4515	0	198611
9.70	4515	0	198611
9.75	4515	0	198611
9.80	4516	0	198611
9.85	4515	0	198611
9.90	4515	0	198611
9.95	4499	0	267914
10.00	4500	0	267913
10.05	4494	0	267916
10.10	0	1744	173499
10.15	0	1762	173498
10.20	0	1760	173498
10.25	0	1760	173499
10.30	0	1760	173499
10.35	0	1760	173499
10.40	0	1760	173499
10.45	0	1760	173499
10.50	0	0	165956
10.55	0	0	165956
10.60	0	0	165954
10.65	3909	0	267917
10.70	3934	0	267918
10.75	3932	0	267918
10.80	3932	0	267917
10.85	3932	0	267917
10.90	3931	0	267916
10.95	3931	0	267916
11.00	3930	0	267917
11.05	3930	0	267917
11.10	3931	0	267917
11.15	3931	0	267917
11.20	3931	0	267917
11.25	3931	0	267917
11.30	3931	0	267916
11.35	3931	0	267916
11.40	3935	0	267917
11.45	3936	0	267917
11.50	3935	0	267916
11.55	3935	0	267916
11.60	3936	0	267916
11.65	3935	0	267917
11.70	3936	0	267917
11.75	3935	0	267917
11.80	3936	0	267917
11.85	3935	0	267917
11.90	3935	0	267916
11.95	3935	0	267916
12.00	3935	0	267917
12.05	3936	0	267917
12.10	3935	0	267917
12.15	3936	0	267917
12.20	3935	0	267917
12.25	3936	0	267916
12.30	3935	0	267916
12.35	3936	0	267916
12.40	3935	0	267917
12.45	3935	0	267917
12.50	3935	0	267917
12.55	3935	0	267917
12.60	3936	0	267917
12.65	3935	0	267917
12.70	3936	0	267916
12.75	3935	0	267916
12.80	3936	0	267917
12.85	3936	0	267917
12.90	3935	0	267916
12.95	3936	0	267916
13.00	3935	0	267917
13.05	3936	0	267917
13.10	3935	0	267917
13.15	3935	0	267917
13.20	3935	0	267917
13.25	3935	0	267916
13.30	3935	0	267916
13.35	3938	0	267917
13.40	3938	0	267917
13.45	3938	0	267917
13.50	3938	0	267917
13.55	3938	0	267917
13.60	3938	0	267917
13.65	3938	0	267917
13.70	3936	0	267916
13.75	3938	0	267916
13.80	3938	0	267916
13.85	3938	0	267916
13.90	3938	0	267917
13.95	3938	0	267917
14.00	3936	0	267917
14.05	3936	0	267917
14.10	3938	0	267917
14.15	3938	0	267917
14.20	3938	0	267917
14.25	3936	0	267916
14.30	3938	0	267916
14.35	3938	0	267916
14.40	3923	0	267917
14.45	3923	0	267917
14.50	3923	0	267917
14.55	3922	0	267916
14.60	3922	0	267917
14.65	3923	0	267917
14.70	3922	0	267917
14.75	3922	0	267917
14.80	3922	0	267917
14.85	3922	0	267917
14.90	3923	0	267916
14.95	3923	0	267916
15.00	3922	0	267917
15.05	3922	0	267917
15.10	3923	0	267917
15.15	3922	0	267917
15.20	3923	0	267916
15.25	3922	0	267916
15.30	3922	0	267917
15.35	3922	0	267917
15.40	3923	0	267917
15.45	3922	0	267917
15.50	3922	0	267917
15.55	3922	0	267917
15.60	3922	0	267916
15.65	3922	0	267916
15.70	3921	0	267917
15.75	3922	0	267917
15.80	3921	0	267916
15.85	3921	0	267916
15.90	3921	0	267917
15.95	3921	0	267917
16.00	3921	0	267917
16.05	3921	0	267917
16.10	3921	0	267917
16.15	3921	0	267917
16.20	3921	0	267916
16.25	3921	0	267916
16.30	3921	0	267917
16.35	3922	0	267917
16.40	3921	0	267917
16.45	3922	0	267917
16.50	3921	0	267917
16.55	3921	0	267917
16.60	3921	0	267916
16.65	3922	0	267916
16.70	3921	0	267917
16.75	3921	0	267917
16.80	3921	0	267917
16.85	3922	0	267917
16.90	3921	0	267917
16.95	3921	0	267916
17.00	3921	0	267916
17.05	3921	0	267916
17.10	3922	0	267917
17.15	3922	0	267917
17.20	3922	0	267916
17.25	3921	0	267916
17.30	3921	0	267916
17.35	3921	0	267917
17.40	3921	0	267917
17.45	3921	0	267917
17.50	3922	0	267917
17.55	3921	0	267917
17.60	3922	0	267916
17.65	3922	0	267916
17.70	3921	0	267916
17.75	3922	0	267916
17.80	3921	0	267917
17.85	3921	0	267917
17.90	3922	0	267917
17.95	3921	0	267917
18.00	3921	0	267917
18.05	3921	0	267917
18.10	3921	0	267916
18.15	3922	0	267916
18.20	3921	0	267917
18.25	3922	0	267917
18.30	3921	0	267917
18.35	3921	0	267917
18.40	3922	0	267917
18.45	3921	0	267917
18.50	3921	0	267916
18.55	3921	0	267916
18.60	3921	0	267917
18.65	3922	0	267917
18.70	3922	0	267917
18.75	3921	0	267916
18.80	3921	0	267916
18.85	3921	0	267916
18.90	3921	0	267917
18.95	3921	0	267917
19.00	3921	0	267917
19.05	3921	0	267917
19.10	3921	0	267917
19.15	3921	0	267917
19.20	3922	0	267916
19.25	3921	0	267916
19.30	3921	0	267916
19.35	3921	0	267916
19.40	3922	0	267916
19.45	3921	0	267917
19.50	3922	0	267917
19.55	3921	0	267917
19.60	3921	0	267917
19.65	3922	0	267917
19.70	3921	0	267917
19.75	3922	0	267916
19.80	3921	0	267916
19.85	3921	0	267916
19.90	3922	0	267916
19.95	3921	0	267917
20.00	3922	0	267917
20.05	3921	0	267917
20.10	3921	0	267917
20.15	0	1755	173498
20.20	0	1764	173498
20.25	0	1758	173498
20.30	0	1770	173500
20.35	0	1769	173500
20.40	0	1770	173499
20.45	0	0	165955
20.50	0	0	165956
20.55	3919	0	267919
20.60	3932	0	267919
20.65	3929	0	267919
20.70	3924	0	267919
20.75	3927	0	267919
20.80	3929	0	267918
20.85	3929	0	267918
20.90	3928	0	267919
20.95	3927	0	267919
21.00	3925	0	267919
21.05	3926	0	267919
21.10	3928	0	267918
21.15	3928	0	267918
21.20	3928	0	267919
21.25	3928	0	267919
21.30	3927	0	267919
21.35	3927	0	267919
21.40	3928	0	267919
21.45	3928	0	267919
21.50	3928	0	267918
21.55	3928	0	267918
21.60	3921	0	267917
21.65	3922	0	267917
21.70	3921	0	267916
21.75	3921	0	267916
21.80	3921	0	267917
21.85	3921	0	267917
21.90	3921	0	267917
21.95	3921	0	267917
22.00	3921	0	267917
