t	accent_ink	accent_maxh	blue_ink	blue_maxh	nruns
0.00	15966	27	0	0	18
0.05	15963	27	0	0	18
0.10	15962	27	0	0	18
0.15	15963	27	0	0	18
0.20	15963	27	0	0	18
0.25	17071	29	0	0	18
0.30	17072	29	0	0	18
0.35	14780	25	0	0	18
0.40	14780	25	0	0	18
0.45	12266	21	0	0	18
0.50	12266	21	0	0	18
0.55	14780	25	0	0	18
0.60	14780	25	0	0	18
0.65	15964	27	0	0	18
0.70	15964	27	0	0	18
0.75	13596	23	0	0	18
0.80	13596	23	0	0	18
0.85	14780	25	0	0	18
0.90	14780	25	0	0	18
0.95	14780	25	0	0	18
1.00	15964	27	0	0	18
1.05	17070	29	0	0	18
1.10	17070	29	0	0	18
1.15	15961	27	0	0	18
1.20	15961	27	0	0	18
1.25	15961	27	0	0	18
1.30	17068	29	0	0	18
1.35	17067	29	0	0	18
1.40	17067	29	0	0	18
1.45	14775	25	0	0	18
1.50	15960	27	0	0	18
1.55	15959	27	0	0	18
1.60	13591	23	0	0	18
1.65	13591	23	0	0	18
1.70	15959	27	0	0	18
1.75	15959	27	0	0	18
1.80	14775	25	0	0	18
1.85	14775	25	0	0	18
1.90	14775	25	0	0	18
1.95	14775	25	0	0	18
2.00	14775	25	0	0	18
2.05	14775	25	0	0	18
2.10	14775	25	0	0	18
2.15	14775	25	0	0	18
2.20	14774	25	0	0	18
2.25	15957	27	0	0	18
2.30	15957	27	0	0	18
2.35	19436	33	0	0	18
2.40	19436	33	0	0	18
2.45	13590	23	0	0	18
2.50	13590	23	0	0	18
2.55	12258	21	0	0	18
2.60	12258	21	0	0	18
2.65	14774	25	0	0	18
2.70	14774	25	0	0	18
2.75	15958	27	0	0	18
2.80	15959	27	0	0	18
2.85	13589	23	0	0	18
2.90	13589	23	0	0	18
2.95	14773	25	0	0	18
3.00	14773	25	0	0	18
3.05	14773	25	0	0	18
3.10	15957	27	0	0	18
3.15	13589	23	0	0	18
3.20	13589	23	0	0	18
3.25	13589	23	0	0	18
3.30	14773	25	0	0	18
3.35	14773	25	0	0	18
3.40	14773	25	0	0	18
3.45	14774	25	0	0	18
3.50	15959	27	0	0	18
3.55	15959	27	0	0	18
3.60	15959	27	0	0	18
3.65	15958	27	0	0	18
3.70	13590	23	0	0	18
3.75	13590	23	0	0	18
3.80	19287	33	0	0	18
3.85	19287	33	0	0	18
3.90	13591	23	0	0	18
3.95	13590	23	0	0	18
4.00	18178	31	0	0	18
4.05	18179	31	0	0	18
4.10	14775	25	0	0	18
4.15	14775	25	0	0	18
4.20	14775	25	0	0	18
4.25	15958	27	0	0	18
4.30	15958	27	0	0	18
4.35	14774	25	0	0	18
4.40	17066	29	0	0	18
4.45	17066	29	0	0	18
4.50	17066	29	0	0	18
4.55	15958	27	0	0	18
4.60	15958	27	0	0	18
4.65	17066	29	0	0	18
4.70	17066	29	0	0	18
4.75	13590	23	0	0	18
4.80	13590	23	0	0	18
4.85	18178	31	0	0	18
4.90	18178	31	0	0	18
4.95	17066	29	0	0	18
5.00	17066	29	0	0	18
5.05	15958	27	0	0	18
5.10	15958	27	0	0	18
5.15	19286	33	0	0	18
5.20	19286	33	0	0	18
5.25	17066	29	0	0	18
5.30	17066	29	0	0	18
5.35	17066	29	0	0	18
5.40	19286	33	0	0	18
5.45	19286	33	0	0	18
