t	accent	blue	tile
0.00	2795	0	193132
0.05	2794	0	193130
0.10	2813	0	193127
0.15	3377	0	192623
0.20	3377	0	192623
0.25	3377	0	192623
0.30	3377	0	192623
0.35	3377	0	192623
0.40	3389	0	194069
0.45	3415	0	194064
0.50	3415	0	194064
0.55	2824	0	194043
0.60	2824	0	194043
0.65	2853	0	194053
0.70	2853	0	194053
0.75	2853	0	194053
0.80	2853	0	194053
0.85	2853	0	194053
0.90	2839	0	194054
0.95	2839	0	194054
1.00	2839	0	194054
1.05	2838	0	194055
1.10	3165	0	194117
1.15	3175	0	194124
1.20	3175	0	194124
1.25	3175	0	194124
1.30	3175	0	194124
1.35	3175	0	194124
1.40	3160	0	194094
1.45	3160	0	194094
1.50	3160	0	194094
1.55	3160	0	194094
1.60	3160	0	194094
1.65	3118	0	194123
1.70	3118	0	194123
1.75	3118	0	194123
1.80	3118	0	194123
1.85	3118	0	194123
1.90	3168	0	194125
1.95	3168	0	194125
2.00	3168	0	194125
2.05	3168	0	194125
2.10	3168	0	194125
2.15	3172	0	194117
2.20	3172	0	194117
2.25	3172	0	194117
2.30	3172	0	194117
2.35	3172	0	194117
2.40	3833	0	194138
2.45	3833	0	194138
2.50	3833	0	194138
2.55	3833	0	194138
2.60	3833	0	194138
2.65	3833	0	194138
2.70	3833	0	194138
2.75	3833	0	194138
2.80	3833	0	194138
2.85	3833	0	194138
2.90	3827	0	194142
2.95	3827	0	194142
3.00	3827	0	194142
3.05	3827	0	194142
3.10	3827	0	194142
3.15	3827	0	194142
3.20	4149	0	194149
3.25	4149	0	194149
3.30	4151	0	194149
3.35	4151	0	194149
3.40	3865	0	194141
3.45	3865	0	194141
3.50	3865	0	194141
3.55	4160	0	194144
3.60	4160	0	194144
3.65	4156	0	194142
3.70	4156	0	194142
3.75	3876	0	194143
3.80	3876	0	194143
3.85	3876	0	194143
3.90	3876	0	194143
3.95	0	1753	99347
4.00	0	1753	99347
4.05	0	1752	99346
4.10	0	1748	99347
4.15	0	1749	99347
4.20	0	1747	99347
4.25	0	1747	99347
4.30	0	1747	99347
4.35	0	1747	99347
4.40	0	1747	99347
4.45	0	0	92519
4.50	0	0	92519
4.55	0	0	92519
4.60	3735	0	194148
